sf,bw,cr,snr_bin,total,cpp_ok,match,header_fail,payload_fail,symbol_count,other,unknown
7,125000,1,"[-20,-15)",1,0,0,0,0,0,0,1
7,125000,1,"[-5,0)",2,2,0,0,0,0,0,0
7,125000,1,"[0,5)",3,2,2,0,0,0,1,0
7,125000,2,"[-15,-10)",1,1,0,0,0,0,0,0
7,125000,2,"[0,5)",4,3,2,0,0,0,1,0
7,125000,3,"[-15,-10)",1,0,0,1,0,0,0,0
7,125000,4,"[-5,0)",1,1,0,0,0,0,0,0
7,250000,1,"[-15,-10)",1,1,0,0,0,0,0,0
7,250000,1,"[5,10)",1,1,0,0,0,0,0,0
7,250000,2,"[-10,-5)",1,0,0,1,0,0,0,0
7,250000,2,"[5,10)",1,1,0,0,0,0,0,0
7,250000,4,"[5,10)",1,1,0,0,0,0,0,0
7,500000,1,"[-15,-10)",1,0,0,1,0,0,0,0
7,500000,1,"[-20,-15)",1,0,0,1,0,0,0,0
7,500000,3,"[5,10)",1,0,0,0,0,0,1,0
8,125000,1,"[-15,-10)",1,1,0,0,0,0,0,0
8,125000,1,"[0,5)",3,2,2,0,0,0,1,0
8,125000,1,"[5,10)",1,1,0,0,0,0,0,0
8,125000,2,"[0,5)",3,2,2,0,0,0,1,0
8,125000,4,"[0,5)",1,1,0,0,0,0,0,0
8,125000,4,"[5,10)",1,1,0,0,0,0,0,0
8,250000,2,"[-20,-15)",1,0,0,1,0,0,0,0
8,250000,3,"[-15,-10)",1,0,0,1,0,0,0,0
8,250000,3,"[0,5)",1,1,0,0,0,0,0,0
8,250000,4,"[-15,-10)",1,1,0,0,0,0,0,0
8,250000,4,"[0,5)",1,0,0,1,0,0,0,0
8,500000,1,"[-10,-5)",1,0,0,1,0,0,0,0
8,500000,1,"[5,10)",1,1,0,0,0,0,0,0
8,500000,2,"[-15,-10)",1,1,0,0,0,0,0,0
8,500000,3,"[-10,-5)",1,1,0,0,0,0,0,0
8,500000,3,"[-15,-10)",1,1,0,0,0,0,0,0
9,125000,3,"[-15,-10)",1,1,0,0,0,0,0,0
9,125000,4,"[-15,-10)",1,1,0,0,0,0,0,0
9,125000,4,"[0,5)",1,1,0,0,0,0,0,0
9,250000,1,"[-5,0)",2,2,0,0,0,0,0,0
9,250000,2,"[-5,0)",1,1,0,0,0,0,0,0
9,250000,3,"[-5,0)",1,1,0,0,0,0,0,0
9,250000,4,"[-10,-5)",1,1,0,0,0,0,0,0
9,250000,4,"[-20,-15)",1,0,0,1,0,0,0,0
9,250000,4,"[0,5)",1,1,0,0,0,0,0,0
9,500000,1,"[-15,-10)",1,1,0,0,0,0,0,0
9,500000,2,"[-10,-5)",1,1,0,0,0,0,0,0
9,500000,4,"[-20,-15)",1,1,0,0,0,0,0,0
10,125000,3,"[-10,-5)",2,2,0,0,0,0,0,0
10,125000,3,"[-20,-15)",1,1,0,0,0,0,0,0
10,125000,3,"[5,10)",1,1,0,0,0,0,0,0
10,125000,4,"[-10,-5)",1,1,0,0,0,0,0,0
10,125000,4,"[0,5)",1,1,0,0,0,0,0,0
10,250000,1,"[-10,-5)",1,1,0,0,0,0,0,0
10,250000,1,"[-20,-15)",1,1,0,0,0,0,0,0
10,250000,1,"[5,10)",1,1,0,0,0,0,0,0
10,250000,3,"[-10,-5)",1,1,0,0,0,0,0,0
10,250000,3,"[-20,-15)",1,1,0,0,0,0,0,0
10,250000,3,"[5,10)",2,2,0,0,0,0,0,0
10,250000,4,"[-15,-10)",1,1,0,0,0,0,0,0
10,250000,4,"[-20,-15)",1,0,0,1,0,0,0,0
10,250000,4,"[-5,0)",2,2,0,0,0,0,0,0
10,500000,1,"[-15,-10)",1,1,0,0,0,0,0,0
10,500000,2,"[-20,-15)",1,1,0,0,0,0,0,0
10,500000,2,"[0,5)",1,0,0,1,0,0,0,0
10,500000,2,"[5,10)",1,1,0,0,0,0,0,0
10,500000,3,"[-15,-10)",1,1,0,0,0,0,0,0
10,500000,3,"[-20,-15)",1,1,0,0,0,0,0,0
10,500000,3,"[-5,0)",1,1,0,0,0,0,0,0
10,500000,4,"[-15,-10)",1,1,0,0,0,0,0,0
10,500000,4,"[5,10)",2,2,0,0,0,0,0,0
11,125000,1,"[5,10)",1,0,0,0,0,0,1,0
11,125000,2,"[-10,-5)",1,0,0,0,0,0,1,0
11,125000,2,"[0,5)",1,0,0,0,0,0,1,0
11,125000,3,"[0,5)",1,0,0,0,0,0,1,0
11,125000,4,"[0,5)",1,0,0,0,0,0,1,0
11,250000,2,"[-20,-15)",1,0,0,0,0,0,1,0
11,250000,3,"[-10,-5)",1,0,0,0,0,0,1,0
11,250000,4,"[-20,-15)",1,0,0,0,0,0,1,0
11,250000,4,"[0,5)",1,1,0,0,0,0,0,0
11,250000,4,"[5,10)",1,0,0,0,0,0,1,0
11,500000,1,"[-10,-5)",1,0,0,0,0,0,1,0
11,500000,1,"[-20,-15)",2,1,0,0,0,0,1,0
11,500000,1,"[5,10)",1,0,0,0,0,0,1,0
11,500000,2,"[-20,-15)",1,0,0,0,0,0,1,0
11,500000,3,"[-10,-5)",1,1,0,0,0,0,0,0
11,500000,3,"[-5,0)",1,0,0,0,0,0,1,0
11,500000,3,"[5,10)",1,0,0,0,0,0,1,0
12,125000,1,"[-20,-15)",1,0,0,0,0,0,1,0
12,125000,1,"[5,10)",1,0,0,0,0,0,1,0
12,125000,2,"[-15,-10)",1,0,0,0,0,0,1,0
12,125000,2,"[-5,0)",1,0,0,0,0,0,1,0
12,125000,3,"[-15,-10)",2,0,0,1,0,0,1,0
12,125000,4,"[0,5)",2,1,0,0,0,0,1,0
12,125000,4,"[5,10)",1,1,0,0,0,0,0,0
12,250000,4,"[-20,-15)",1,1,0,0,0,0,0,0
12,500000,2,"[-10,-5)",1,0,0,0,0,0,1,0
12,500000,2,"[-15,-10)",1,1,0,0,0,0,0,0
12,500000,4,"[0,5)",1,1,0,0,0,0,0,0
